occurrence_no,pres_mode,preservation_quality,common_body_parts,abund_value,abund_unit,class,family,genus,taxon_environment,life_habit,diet,early_interval,late_interval,time_bins,museum,collection_no,age_max,age_min,age_median,age_uncer_range,lng,lat,environment,occurrence_comments,cc,state,county,formation,stratgroup,member,zone,accepted_rank,ref_author,ref_pubyr,reference_no.x,collection_name,collection_subset,collection_aka,latlng_basis,latlng_precision,geogscale,geogcomments,paleomodel,geoplate,paleoage,paleolng,paleolat,paleomodel2,geoplate2,paleoage2,paleolng2,paleolat2,paleomodel3,geoplate3,paleoage3,paleolng3,paleolat3,protected,stratscale,localsection,localbed,stratcomments,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,fossilsfrom1,lithology2,lithadj2,lithification2,minor_lithology2,fossilsfrom2,tectonic_setting,geology_comments,assembl_comps,articulated_parts,associated_parts,rare_body_parts,feed_pred_traces,artifacts,component_comments,spatial_resolution,temporal_resolution,lagerstatten,concentration,orientation,abund_in_sediment,collection_comments,taxonomy_comments
853407,"body,trace",,,1,specimens,Reptilia,Parasuchidae,Machaeroprosopus,terrestrial,,carnivore,Norian,,Norian,NMMNH,48516,227,208.5,217.75,18.5,-103.379997,35.365276,fine channel fill,,US,New Mexico,Quay,Bull Canyon,Dockum,,,genus,Hunt,2001,32312,"NMMNH Loc. 001, Revuelto Creek",NA,,stated in text,seconds,outcrop,"along Revuelto Creek, S of highway and railroad crossings 5 mi. W of San Jon, Quay Co., NM. NE 1/4, NE 1/4, SE 1/4, sec ?, T10N, R33E. [Gregory lists secs. 10, 14, 15.]",gplates,101,mid,-32.29,9.9,scotese,101,mid,-43.13,10.11,seton,not computable using this model,,NA,NA,,bed,,,,,sandstone,,,,Y,,,,,,,"""low energy channel infilling""",mesofossils,,,,,NA,,,,concentrate,concentrated,,,,
853401,body,medium,,NA,,Reptilia,Rhynchosauridae,Hyperodapedon,terrestrial,,herbivore,Carnian,,Carnian,,94787,237,227,232,10,81.366669,23.916668,terrestrial indet.,,IN,Madhya Pradesh,Shadol,Tiki,Gondwana,,,species,Lydekker,1885,17140,Tiki village,NA,Tikisuchus holotype,stated in text,minutes,outcrop,1.5 km south of Tiki village,gplates,501,mid,49.11,-39.66,scotese,501,mid,50.74,-42.03,seton,not computable using this model,,NA,NA,,group of beds,,,"The Tiki Formation is considered a temporal equivalent of the lower Maleri Formation, and both have been correlated on the basis of vertebrate biostratigraphy with the Scaphonyx-Exaeretodon-Herrerasaurus biozone of the Ischigualasto Formation of Argentina and the Hyperodapedon Assemblage Zone of the Santa Maria Formation of Brazil (e.g. Novas et al. 2011. Earth Env. Sci. Trans. Roy. Soc. Edin. 101:333-349). The relevant part of the Ischigualasto Formation has been dated as late Carnian in age on radioisotopic data (e.g. Martinez et al. 2011. Science 331: 206-210), and the Tiki Formation is commonly considered equivalent in age.",,mudstone,red,,,Y,,,,,,,,macrofossils,,some,,,NA,,,snapshot,,concentrated,,,"ISI: Indian Statistical Institute, Calcutta",
853397,body,medium,,1,individuals,Reptilia,Rauisuchidae,Tikisuchus,terrestrial,,carnivore,Carnian,,Carnian,,94787,237,227,232,10,81.366669,23.916668,terrestrial indet.,"ISZ R 305, partial skull and associated postcranial material",IN,Madhya Pradesh,Shadol,Tiki,Gondwana,,,species,Chatterjee and Majumdar,1987,32311,Tiki village,NA,Tikisuchus holotype,stated in text,minutes,outcrop,1.5 km south of Tiki village,gplates,501,mid,49.11,-39.66,scotese,501,mid,50.74,-42.03,seton,not computable using this model,,NA,NA,,group of beds,,,"The Tiki Formation is considered a temporal equivalent of the lower Maleri Formation, and both have been correlated on the basis of vertebrate biostratigraphy with the Scaphonyx-Exaeretodon-Herrerasaurus biozone of the Ischigualasto Formation of Argentina and the Hyperodapedon Assemblage Zone of the Santa Maria Formation of Brazil (e.g. Novas et al. 2011. Earth Env. Sci. Trans. Roy. Soc. Edin. 101:333-349). The relevant part of the Ischigualasto Formation has been dated as late Carnian in age on radioisotopic data (e.g. Martinez et al. 2011. Science 331: 206-210), and the Tiki Formation is commonly considered equivalent in age.",,mudstone,red,,,Y,,,,,,,,macrofossils,,some,,,NA,,,snapshot,,concentrated,,,"ISI: Indian Statistical Institute, Calcutta",
853392,body,medium,,6,specimens,Reptilia,Rauisuchidae,Arganasuchus,terrestrial,,carnivore,Carnian,,Carnian,MNHN,94786,237,227,232,10,-8.933333,31.066668,terrestrial indet.,"MNHN ALM 1-6, maxilla and mandibular fragments",MA,Marrakech-Safi,,Timezgadiouine,Argana,Irohalene,,species,Jalil and Peyer,2007,32305,"Locality XI, Alili n'yifis, Alma",NA,Gisement XI,based on nearby landmark,minutes,small collection,"Near the village of Alma in the north of the Argana Basin, about 50 km NE of Agadir; Lambert coordinates 161.8/456.9. Map shows locality to be close to the settlements of Titrine and Talaint; coordinates based on Talaint",gplates,707,mid,3.21,16.96,scotese,707,mid,-5.27,7.62,seton,not computable using this model,,NA,NA,,bed,,,Lower part of the T5 stratigraphic unit,,not reported,,,,,,,,,,,,macrofossils,,,"maxillae,mandibles",,NA,,,snapshot,,,,,,
853390,"mold/impression,trace",,,NA,,Reptilia,Grallatoridae,Grallator,terrestrial,"ground dwelling, solitary",carnivore,Carnian,,Carnian,,94784,237,227,232,10,28.274721,-30.97611,terrestrial indet.,,ZA,Eastern Cape,,Molteno,Stormberg,,,genus,Raath et al.,1990,32308,Maclear tracksite B,NA,farm Oakleigh,stated in text,seconds,outcrop,"17 km NE of the town of Maclear, Eastern Cape, along Pot River on the farm of Oakleigh; 200 m downstream of main site",gplates,701,mid,-0.91,-53.17,scotese,701,mid,-2.51,-62.57,seton,not computable using this model,,NA,NA,,bed,,,near base of Stormberg Series; Carnian,"""medium-to-fine grained cross-beded silty sandstone""",sandstone,"desiccation cracks,current ripples,""cross stratification"",fine,medium",,silty,Y,,,,,,,,macrofossils,none,none,footprints,,NA,,autochthonous,snapshot,,,life position,common,,
853388,body,,,NA,,Reptilia,Rhynchosauridae,Hyperodapedon,terrestrial,,herbivore,Carnian,,Carnian,,94782,237,227,232,10,30.049999,-16.1,"""floodplain""",,ZW,Mashonaland Central,,Pebbly Arkose,Karoo,,,genus,Raath et al.,1992,32306,"Z 109/1, Cabora Bassa Basin",NA,,stated in text,minutes,small collection,"Dande Communal Lands, Cabora Bassa Basin",gplates,701,mid,14.17,-42.1,scotese,701,mid,12.91,-50.18,seton,not computable using this model,,NA,NA,,,,,"considered equivalent to the Molteno Formation of South Africa and of ""Ischigualastian"" age; Carnian","""Light-brown, fine-grained micaceous sandstone which is moderately sorted and relatively coarse bedded. The sandstone fines upward to siltstone and even to mudstone. Pyrite concretions occur sporadically. Scour-and-fill structures are developed at the base of the cyclic units, whereas disiccation cracks and slump structures are more common in the upper portions""",sandstone,"""cross stratification"",grading,fine,micaceous,pyritic,brown",,,Y,,,,,,,"""alluvial plain sedimentation""",macrofossils,,,,,NA,,,,,,,,,
853387,body,,,NA,,Reptilia,Rhynchosauridae,Hyperodapedon,terrestrial,,herbivore,Carnian,,Carnian,,94781,237,227,232,10,30.283333,-16.216667,"""floodplain""",,ZW,Mashonaland Central,,Pebbly Arkose,Karoo,,,genus,Raath et al.,1992,32306,"Z 64/1, Cabora Bassa Basin",NA,,stated in text,minutes,small collection,"Dande Communal Lands, Cabora Bassa Basin",gplates,701,mid,14.34,-42.32,scotese,701,mid,13.17,-50.38,seton,not computable using this model,,NA,NA,,,,,"considered equivalent to the Molteno Formation of South Africa and of ""Ischigualastian"" age; Carnian","""Light-brown, fine-grained micaceous sandstone which is moderately sorted and relatively coarse bedded. The sandstone fines upward to siltstone and even to mudstone. Pyrite concretions occur sporadically. Scour-and-fill structures are developed at the base of the cyclic units, whereas disiccation cracks and slump structures are more common in the upper portions""",sandstone,"""cross stratification"",grading,fine,micaceous,pyritic,brown",,,Y,,,,,,,"""alluvial plain sedimentation""",macrofossils,,,,,NA,,,,,,,,,
851330,"body,adpression,soft parts",excellent,partial skeletons,1,specimens,Reptilia,Drepanosauridae,Megalancosaurus,terrestrial,arboreal,insectivore,Norian,,Norian,,36377,216.7,213.2,214.95,3.5,9.717,45.682999,shallow subtidal indet.,"MPUM 8437 (also given as CCSR 63115), early complete articulated specimen",IT,Lombardia,,Zorzino Limestone,,,,species,Renesto,2000,28035,Endenna cave,NA,,based on nearby landmark,3,small collection,"Endenna cave, in the Bergamo Prealps, Bergamasco, Italy. Coordinates for Bergamo.",gplates,307,mid,27.89,22.45,scotese,307,mid,12.98,27.65,seton,not computable using this model,,NA,NA,,formation,,,"material from a sequence of 3 levels, each bearing bones. Unclear which fossils are from which layers. Uppermost part of the Zorzino Limestones (Calcare di Zorzino) of latest Alaunian age (dated by palynomorphs)","heterotopic limestone, micritic, with bituminous facies, argillaceous layers, dolomitic layers, and neraster marls.","""limestone""",dolomitic,,"argillaceous,carbonaceous",Y,marl,,,,,,"carbonate platform with quiet sedimentation, eventually probably stagnant, shallower, and anoxic at depth. Cyclic carbonate sedimentation evident, as well as supratidal erosion. Sequence from intertidal transgressive, to subtidal, to intertidal regressive phases.","macrofossils,mesofossils",some,some,skeletons,,NA,,allochthonous,snapshot,conservation,,,common,"Nosotti 1986 reports a single Psephoderma alpinum tooth (ID no. V467) from ""Endenna (Zogno, Bergamo), Calcare di Zorzino, Norico superiore"" in the collections of the Museo Civico di Storia Naturale di Milano. ",
851329,"body,adpression,soft parts",excellent,partial skeletons,2,specimens,Reptilia,Drepanosauridae,Megalancosaurus,terrestrial,arboreal,insectivore,Norian,,Norian,,36377,216.7,213.2,214.95,3.5,9.717,45.682999,shallow subtidal indet.,"MBSN 25 (holotype), 26 (referred), partial postcranial skeletons",IT,Lombardia,,Zorzino Limestone,,,,species,Renesto et al.,2010,32240,Endenna cave,NA,,based on nearby landmark,3,small collection,"Endenna cave, in the Bergamo Prealps, Bergamasco, Italy. Coordinates for Bergamo.",gplates,307,mid,27.89,22.45,scotese,307,mid,12.98,27.65,seton,not computable using this model,,NA,NA,,formation,,,"material from a sequence of 3 levels, each bearing bones. Unclear which fossils are from which layers. Uppermost part of the Zorzino Limestones (Calcare di Zorzino) of latest Alaunian age (dated by palynomorphs)","heterotopic limestone, micritic, with bituminous facies, argillaceous layers, dolomitic layers, and neraster marls.","""limestone""",dolomitic,,"argillaceous,carbonaceous",Y,marl,,,,,,"carbonate platform with quiet sedimentation, eventually probably stagnant, shallower, and anoxic at depth. Cyclic carbonate sedimentation evident, as well as supratidal erosion. Sequence from intertidal transgressive, to subtidal, to intertidal regressive phases.","macrofossils,mesofossils",some,some,skeletons,,NA,,allochthonous,snapshot,conservation,,,common,"Nosotti 1986 reports a single Psephoderma alpinum tooth (ID no. V467) from ""Endenna (Zogno, Bergamo), Calcare di Zorzino, Norico superiore"" in the collections of the Museo Civico di Storia Naturale di Milano. ",
851325,"body,adpression",variable,partial skeletons,1,specimens,Reptilia,NO_FAMILY_SPECIFIED,Vallesaurus,terrestrial,,,Norian,,Norian,,59639,216.7,213.2,214.95,3.5,9.817,45.783001,basinal (carbonate),"MCSNB 4751, nearly complete skeleton",IT,Lombardia,Bergamo,Zorzino Limestone,,,,species,Renesto and Binelli,2006,32242,"Cene, Seriana Valley",NA,,based on nearby landmark,3,outcrop,"quarry on the slope of Monte Bo, close to the small town of Cene, Seriana Valley, Bergamo. Coordinates are for Cene.",gplates,307,mid,28.02,22.45,scotese,307,mid,13.11,27.69,seton,not computable using this model,,NA,NA,,bed,,,uppermost Zorzino Limestone (Calcare di Zorzino); uppermost Alaunian on the basis of palynomorphs; most specimens collected from a single 15 cm thick bed 20-30 m below the overlying Argilliti di Riva di Solta,"""vertebrates are yielded by laminated limestones and marly-limestones""","""limestone""","planar lamination,black",lithified,muddy,Y,,,,,,,"""deposited in basins surrounded by the Dolomia Principale plaform. The basins were tens to hundreds of meters deep and many square kilometres wide. ...and often surrounded by small islands""",macrofossils,some,some,teeth,,NA,,,snapshot,,,,,Repository: Museum Civico di Scienze Naturali di Bergamo (MCSNB),
851324,"body,adpression",variable,partial skeletons,1,specimens,Reptilia,NO_FAMILY_SPECIFIED,Vallesaurus,terrestrial,,,Norian,,Norian,,59639,216.7,213.2,214.95,3.5,9.817,45.783001,basinal (carbonate),"MCSNB 4783, vertebrae and hindlimbs",IT,Lombardia,Bergamo,Zorzino Limestone,,,,species,Renesto et al.,2010,32240,"Cene, Seriana Valley",NA,,based on nearby landmark,3,outcrop,"quarry on the slope of Monte Bo, close to the small town of Cene, Seriana Valley, Bergamo. Coordinates are for Cene.",gplates,307,mid,28.02,22.45,scotese,307,mid,13.11,27.69,seton,not computable using this model,,NA,NA,,bed,,,uppermost Zorzino Limestone (Calcare di Zorzino); uppermost Alaunian on the basis of palynomorphs; most specimens collected from a single 15 cm thick bed 20-30 m below the overlying Argilliti di Riva di Solta,"""vertebrates are yielded by laminated limestones and marly-limestones""","""limestone""","planar lamination,black",lithified,muddy,Y,,,,,,,"""deposited in basins surrounded by the Dolomia Principale plaform. The basins were tens to hundreds of meters deep and many square kilometres wide. ...and often surrounded by small islands""",macrofossils,some,some,teeth,,NA,,,snapshot,,,,,Repository: Museum Civico di Scienze Naturali di Bergamo (MCSNB),
851317,"body,adpression,soft parts",excellent,partial skeletons,1,specimens,Reptilia,Drepanosauridae,Drepanosaurus,terrestrial,,,Norian,,Norian,,36377,216.7,213.2,214.95,3.5,9.717,45.682999,shallow subtidal indet.,"MCSNB 5728, nearly complete, articulated skeleton",IT,Lombardia,,Zorzino Limestone,,,,species,Renesto et al.,2010,32240,Endenna cave,NA,,based on nearby landmark,3,small collection,"Endenna cave, in the Bergamo Prealps, Bergamasco, Italy. Coordinates for Bergamo.",gplates,307,mid,27.89,22.45,scotese,307,mid,12.98,27.65,seton,not computable using this model,,NA,NA,,formation,,,"material from a sequence of 3 levels, each bearing bones. Unclear which fossils are from which layers. Uppermost part of the Zorzino Limestones (Calcare di Zorzino) of latest Alaunian age (dated by palynomorphs)","heterotopic limestone, micritic, with bituminous facies, argillaceous layers, dolomitic layers, and neraster marls.","""limestone""",dolomitic,,"argillaceous,carbonaceous",Y,marl,,,,,,"carbonate platform with quiet sedimentation, eventually probably stagnant, shallower, and anoxic at depth. Cyclic carbonate sedimentation evident, as well as supratidal erosion. Sequence from intertidal transgressive, to subtidal, to intertidal regressive phases.","macrofossils,mesofossils",some,some,skeletons,,NA,,allochthonous,snapshot,conservation,,,common,"Nosotti 1986 reports a single Psephoderma alpinum tooth (ID no. V467) from ""Endenna (Zogno, Bergamo), Calcare di Zorzino, Norico superiore"" in the collections of the Museo Civico di Storia Naturale di Milano. ",
851246,body,good,postcrania,14,individuals,Reptilia,Silesauridae,Asilisaurus,terrestrial,ground dwelling,,Anisian,,Anisian,,94651,247.2,242,244.6,5.2,35.133331,-10.3,"""channel""","NMT RB9 (holotype), dentary. Paratype: anterior cervical vertebra (NMT RB21), L scapulocoracoid (NMT RB10), sacrum (NMT RB11), proximal part of ischium (NMT RB12), ilium (NMT RB13), proximal part of pubis (NMTRB14), anterior part of skull (NMT RB15), proximal part of L humerus (NMT RB16), L astragalus (NMT RB17), R calcaneum (NMT RB18), proximal part of L femur (NMT RB19), R tibia (NMT RB20). Add'l material known; minimum number of individuals is based upon sacra.",TZ,Ruvuma,,Manda Beds,,Lifua,Cynognathus subzone C,species,Nesbitt et al.,2010,32231,Litumba Ndyosi (NMT Z34),NA,Asilisaurus holotype,based on nearby landmark,minutes,small collection,"near the town of Litumba Ndyosi, Ruhuhu Basin; small 6 meter-wide channel fill over a distance of some 10 m. ",gplates,701,mid,20.43,-40.37,scotese,709,mid,22.36,-53.39,seton,not computable using this model,,NA,NA,,bed,,,"""above the base of the Lifua Member, probably near middle of the member...correlated with Subzone C of the Cynognathus Assemblage Zone. This correlation was based on the shared occurrences of the dicynodont Angonisaurus and the cynodonts Diademodon and Cricodon. Subzone C of the Cynognathus Assemblage Zone is suggested to be late Anisian. The Rio Mendoza Formation of Argentina correlates with Subzone C of the Cynognathus Assemblage Zone(Rubidge 2005), and thus the Lifua Member of the Manda Beds. The top of the Rio Mendoza Formation has been dated at 243 ± 5 Ma (Avila et al. 2006), which is consistent with the Anisian age as predicted by biostratigraphy.""","""Most of the bones had weathered out of light greenish-grey mudstone with purple mottles. Most specimens are encased in a thin layer of dark brown weathering calcareous nodular material which is abundant in a 30 cm-thick bed of intraformational clay pebble conglomerate lining the base of the channel form.""",mudstone,"nodular,gray,green",,"conglomeratic,calcareous",Y,,,,,,,"""abandoned tributary channel on a semi-arid floodplain in the axial regions of the Ruhuhu half graben""",macrofossils,none,some,mandibles,,NA,,,,,concentrated,,common,"NMT: National Museum of Tanzania, Dar es Salaam",
850677,"body,adpression",,,NA,,Reptilia,Cymbospondylidae,Phantomosaurus,marine,nektonic,carnivore,Anisian,,Anisian,BSP,94551,247.2,242,244.6,5.2,9.766667,49.966667,marine indet.,,DE,Bayern,Unterfranken,,Muschelkalk,,pulcher/robustus,species,Maisch and Matzke,2006,32169,Karlstadt/Main,NA,Karlstadt am Main,based on nearby landmark,minutes,small collection,coordinate based on Karlstadt am Main,gplates,305,mid,28.81,28.64,scotese,305,mid,19.26,15.79,seton,not computable using this model,,NA,NA,,bed,,,"""Middle pulcher/robustus Zone, lower part of Upper Muschelkalk, Late Anisian""",,not reported,,lithified,,,,,,,,,,macrofossils,,,,,NA,,,,,,,,"""the specimen has suffered from poor chemical preparation""",
850048,body,good,,1,individuals,Reptilia,Stagonolepididae,Desmatosuchus,terrestrial,,herbivore,Norian,,Norian,,94497,227,208.5,217.75,18.5,-109.566666,36.383331,crevasse splay,"MNA V9300, partial skeleton",US,Arizona,Apache,Chinle,,Blue Mesa,,species,Parker,2008,32140,"MNA 1496, 5 km NE Many Farms",NA,,estimated from map,minutes,small collection,,gplates,101,mid,-37.13,11.8,scotese,133,mid,-51.97,11.89,seton,not computable using this model,,NA,NA,,bed,,,17 metres below the base of the Sonsela Member,"""Green-gray mudstone lens...finely laminated and contains numerus small mud rip-up clasts""",mudstone,"planar lamination,gray,green",,,Y,,,,,,,,macrofossils,,some,"partial skeletons,teeth,vertebrae",,NA,,parautochthonous,snapshot,,,,,MNA: Museum of Northern Arizona,
850016,body,,,1,specimens,Reptilia,Stagonolepididae,Calyptosuchus,terrestrial,,herbivore,Norian,,Norian,UMMP,94493,227,208.5,217.75,18.5,-101.133331,33.416668,terrestrial indet.,"UMMP 10188, plate",US,Texas,Crosby,Tecovas,Dockum,,,species,Long and Murry,1995,14122,"Walker's Tank, TMM 41966",NA,"Trilophosaurus holotype, Red Tank, Walkers Tank",based on political unit,minutes,local area,near Kalgary,gplates,101,mid,-30.73,7.7,scotese,101,mid,-41.47,7.98,seton,not computable using this model,,NA,NA,,group of beds,,,,,not reported,,,,,,,,,,,,macrofossils,,,,,NA,,,,,,,,,
850012,body,,,1,specimens,Reptilia,Trilophosauridae,Trilophosaurus,terrestrial,,herbivore,Norian,,Norian,UMMP,94493,227,208.5,217.75,18.5,-101.133331,33.416668,terrestrial indet.,"UMMP 2338, dentary fragment",US,Texas,Crosby,Tecovas,Dockum,,,species,Case,1928,43383,"Walker's Tank, TMM 41966",NA,"Trilophosaurus holotype, Red Tank, Walkers Tank",based on political unit,minutes,local area,near Kalgary,gplates,101,mid,-30.73,7.7,scotese,101,mid,-41.47,7.98,seton,not computable using this model,,NA,NA,,group of beds,,,,,not reported,,,,,,,,,,,,macrofossils,,,,,NA,,,,,,,,,
850008,"body,coprolite",variable,,2,elements,Reptilia,NO_FAMILY_SPECIFIED,Krzyzanowskisaurus,terrestrial,"ground dwelling, gregarious",herbivore,Norian,,Norian,UCMP,39160,227,208.5,217.75,18.5,-109.462486,34.43742,wet floodplain,"MNA V3195, 3200, teeth previously referred to Trilophosaurus jacobsi",US,Arizona,Apache,Chinle,,Mesa Redondo,,species,Heckert et al.,2006,32141,"Placerias Quarry, UCMP A269",NA,,stated in text,8,outcrop,"grassy valley near Romero Spring, approx. 10.5 km SW of St. Johns, eastern Apache County.  In SW 1/4, NW 1/2, sec 14, T12N, R27E, near W edge of a low terrace along a tributary arroyo of Big Hollow Wash, at UTM 641260E, 3811730N, zone 12.",gplates,101,mid,-37.44,9.88,scotese,133,mid,-52.23,9.95,seton,not computable using this model,,NA,NA,,group of beds,,,"One of two nearly adjacent quarries (the second is the Downs Quarry, 30 metres from the Placerias Quarry). Early workers placed the Placerias Quarry low in the Blue Mesa Member, while Lucas et al. (1997) assigned it to the Mesa Redondo (= Bluewater Creek) Member. Parker (2005) noted that the lithology of the beds and the local presence of the Shinarump Member (the basal member of the Chinle Formation) supports the Mesa Redondo assignment. Earliest Adamanian LVF\r\n\r\nKent et al. 2019: Mesa Redondo Fm. falls between magnetozone 10n and PF8r, approximately 209.5Ma. 224.54–222.24Ma.","""The original quarry horizon was a bed of limestone concretions from which many broken or poorly preserved bones were recovered; this gives way to typical reddish-brown Chinle mudstones and silts, with occasional sandstone lenses, in which 'two fossiliferous levels [were] separated by 2 feet of barren sediments'...Calcareous nodules, gypsum lenses, carbonaceous particles, and yellow-brown sulfurous deposits are common""...fossils in ""clay-rich mudstone...[that] varies in color from a dark to light olive gray, with little change in mineral composition. These mudstones are dominantly smectite with 10%-25% quartz and traces of feldspar, gypsum, and calcite...'chunks' of this carbonaceous material occur as dark gray and black specks usually less than a millimeter or two in diameter...the calcareous nodules...are autochthonous...[with] a micritic texture."" Nodules interpreted as palustrine carbonates.",mudstone,"lenticular,brown,red",,"silty,sandy",,claystone,"paleosol/pedogenic,concretionary,gray,green",,"silty,carbonaceous",,,"""a soft, vegetated pond bottom or other quiet water deposit""; ""ancient pond or marsh, an environment of low-energy water flow that may have been seasonally low or dry (as indicated by numerous evaporites."" But re-interpreted as a humid-environment soil.","macrofossils,mesofossils,microfossils",,,,"tooth marks,gastric dissolution",NA,,autochthonous,,,#NAME?,,,,
849947,body,good,"skeletons,partial skeletons,skulls",1,specimens,Reptilia,Silesauridae,Eucoelophysis,terrestrial,ground dwelling,,Rhaetian,,Rhaetian,"AMNH,CM,MCZ,YPM",48422,208.5,201.4,204.95,7.1,-106.473099,36.331699,crevasse splay,"TMP 84-63-33, partial skeleton",US,New Mexico,Rio Arriba,Chinle,,Siltstone,,genus,Rinehart et al.,2009,32134,Ghost Ranch Quarry,NA,"Whitaker Quarry, Coelophysis Quarry",stated in text,4,small collection,"SE 1/4, SE 1/4, SW 1/4, sec 1, T24N, R4E. Ghost Ranch, orig. owned by Arthur N. Pack",gplates,101,mid,-35.96,10.83,scotese,133,mid,-51.55,13.24,seton,not computable using this model,,NA,NA,FED,group of beds,,,"Apachean LVF. Has been placed variously previously in the ""upper Petrified Forest Member"", in the ""siltstone member"" of the Chinle Formation, the Owl Rock Member and the Rock Point Member.  ","""The quarry itself is in a sequence of 11 siltstone beds...These beds are intensively bioturbated, contain many silt rip-up clasts""; ""predominately of reddish-brown, yellowish-brown, and light greenish-grey siltstones interbedded with carbonate pebble conglomerates; 10-20 m of interbedded sandstone and siltstone comprise the top of the section.""",siltstone,"desiccation cracks,bioturbation,intraclastic,brown,green,red",,muddy,Y,conglomerate,pebbly,,calcareous,,,"""pond [underlying the main quarry layer] represented a topographic depression in which the dinosaurs and associated carcasses accumulated...carcasses were washed into the quarry by a single [flood] event that also ripped up underlying lacustrine siltstones and even introduced some bones into the uppermost level of the lacustrine interval""","macrofossils,mesofossils,microfossils",many,many,,,NA,,autochthonous,snapshot,concentrate,#NAME?,preferred,abundant,"1947 AMNH expedition under E. H. Colbert\r\nMaterial also in MNA, NMMNH, TMP",
848404,body,,,1,elements,Reptilia,Procolophonidae,Tichvinskia,terrestrial,,,Olenekian,,Olenekian,PIN,94369,251.2,247.2,249.2,4,55.275002,51.387501,"""channel""",PIN 4400/1 (right dentary),RU,Orenburg,Sol'-Iletsk,Petropavlovka,,,,species,Novikov,1991,31491,Meshcheryakovka I,NA,"Mescheryakovka I; locality 37 (Tverdokhlebov et al., 2003); PIN 4400",based on nearby landmark,seconds,small collection,"""Orenburg Region, 0.3 km south of Mescheryakovka village, right bank of the Donguz River (drainage basin of left bank of the Ural River)"" (Tverdokhlebov et al., 2003). Polar coordinates are for Meshcheryakovka village.",gplates,302,mid,60.87,39.67,scotese,301,mid,45.87,32.36,seton,not computable using this model,,NA,NA,,group of beds,,,"""Petropavlovskaya Svita. Lower Triassic."" (Tverdokhlebov et al., 2003). The Petropavlovka ""Formation"" is uppermost Olenekian (ibid. fig. 2).","""Red, medium-grained, cross-bedded sandstone."" (Tverdokhlebov et al., 2003).",sandstone,"""cross stratification"",medium,red",,,,,,,,,foreland basin,"""Tributary channel deposits."" (Tverdokhlebov et al., 2003).",macrofossils,,,,,NA,,,,,,,,,
848381,body,,,1,elements,Reptilia,Procolophonidae,Procolophon,terrestrial,,,Induan,Olenekian,Olenekian,BMNH,94365,251.902,247.2,249.551,4.702,25.85,-30.304167,terrestrial indet.,"""a new species of Procolophon"", represented by the anterior portion of a right lower jaw",ZA,Free State,Kopanong,,Beaufort,,Lystrosaurus Assemblage,species,Carroll and Lindsay,1985,29615,Klein Vogelstruisfontein (Bethulie District),NA,,based on political unit,seconds,hand sample,""" [...] Kl. Vogelstruisfontein. in the district of Bethulie [...] "" (Seeley, 1889). No further deatils are given. Polar coordinates are for farm Klein Vogelstruisfontein, about 25 km NW from town of Bethulie, Kopanong Local Municipality, Xhariep District Municipality, Free State.",gplates,701,mid,-9.92,-49.85,scotese,701,mid,-18.91,-64.06,seton,not computable using this model,,NA,NA,,bed,,,"No stratigraphic data are given in the primary reference. The geographic position of the locality (if correct) suggests that is is in an horizon equivalent to the Katberg or the Burgersdorp Fm. (undivided strata of the Tarkastad Subgroup; see map in fig. 24 in Catuneanu et al., 2005, Afr. J. Earth Sci. 43(1-3)) and within the Lystrosaurus Assemblage Zone (see map in fig. 1 in Rubidge et al., 1995, SACS Biostrat. Ser. 1). Furthermore, Cisneros (2008, Paleoworld 17(2)) states that ""The occurrence of Procolophon in South Africa is restricted to the interval between the middle part of the Katberg Formation and the lowermost Burgersdorp Formation (Neveling, 2004; Smith and Botha, 2005; Botha and Smith, 2006)."" Litho- and biostratigraphic data point to a Middle Induan to Lowest Olenekian age (see fig. 25 in Catuneanu et al., 2005).",In fact not reported but almost surely siliciclastic.,"""siliciclastic""",,,,,,,,,,foreland basin,,macrofossils,none,,,,NA,,,,,,,,,
